index,Address,Possesion,Furnishing,Buildup_area,Carpet_area,Bathrooms,Property_age,Parking,Price,Brokerage,Floor,Per_sqft_price,BHK,Total_bedrooms
5951,"K Raheja Interface Heights, Mindspace, Malad West, Mumbai",Ready to move,Semi Furnished,1000.0,840.0,2.0,5,1,24000000,240000.0,20.0,24000.0,2.0,2.0
194,"Skyline Magnus, Pant Nagar, Ghatkopar East, Mumbai",Ready to move,Semi Furnished,1610.0,1400.0,3.0,1,0,41800000,0.0,12.0,25960.0,3.0,3.0
1144,"Chaitanya Anand CHSL, Tepgaon, Andheri West, Mumbai",Ready to move,Semi Furnished,500.0,367.0,1.0,1,1,14300000,5726936.663,13.0,28600.0,1.0,1.0
2018,"Sahajanand Athena, Jawahar Nagar, Goregaon West, Mumbai",Ready to move,Semi Furnished,550.0,391.0,2.0,1,1,11000000,100000.0,22.0,20000.0,1.0,1.0
7584,"Amardeep Chembur, Chembur Gaothan, Chembur, Mumbai",Ready to move,Unfurnished,1850.0,1077.534751,1.0,1,2,38500000,38500000.0,15.0,20810.0,3.0,3.0
5032,"Rameshwar tower dadar West, Dadar West, Mumbai",Ready to move,Semi Furnished,1800.0,1366.989643,1.0,15,1,70000000,70000000.0,22.0,38890.0,3.0,3.0
9542,"P&T Staff Colony, Mulund West, Mumbai",Ready to move,Fully Furnished,1100.0,733.7725301,1.392111373,45,1,18500000,18500000.0,6.0,16820.0,3.0,1.999999973
4551,"Godrej Prime, Sahakar Nagar, Chembur, Mumbai",Ready to move,Semi Furnished,810.0,650.0,2.0,5,2,19000000,190000.0,15.0,23460.0,2.0,2.0
2621,"Om Shree Tirupati Balaji Tirupati Pooja, Navghar Gaon, Bhayandar East, Mumbai",Ready to move,Semi Furnished,695.0,400.0,2.0,5,1,7000000,150000.0,15.0,10070.0,1.0,1.0
6127,"Samta Ostwal Empire M1 And M2, Boisar, Mumbai",Ready to move,Semi Furnished,865.0,700.0,2.0,20,1,4500000,85111.00428,3.0,5200.0,2.0,2.0
3184,"vinayak apt, Chincholi Bunder, Malad West, Mumbai",Ready to move,Semi Furnished,600.0,420.0,1.0,10,1,11000000,110000.0,6.0,18330.0,1.0,1.0
6533,"B L Tower, I C Colony, Borivali West, Mumbai",Ready to move,Unfurnished,1000.0,769.5246551,1.0,3,1,13000000,13000000.0,10.0,13000.0,2.0,2.0
3165,"Salangpur Salasar Aarpan, Pandurang Wadi, Mira Road East, Mumbai",Ready to move,Semi Furnished,730.0,490.0,2.0,7,1,6550000,64000.0,8.0,8970.0,1.0,1.0
6996,"RUNWAL FOREST, Kanjurmarg West, Mumbai",Ready to move,Semi Furnished,600.0,448.2252091,1.0,2,1,12500000,12500000.0,38.0,20830.0,2.0,2.0
2925,"S R And Shah Surya Kirti Heights and Tower, Virar West, Mumbai",Ready to move,Unfurnished,800.0,450.0,2.0,5,0,3200000,37080.14399,12.0,4000.0,1.0,1.0
8899,"Modi space Amazon, Kastur Park, Borivali West, Mumbai",Ready to move,Unfurnished,500.0,400.0024559,1.0,5,1,12500000,12500000.0,7.0,25000.0,1.0,2.0
2795,"Laxmi Height, Mira Road East, Mumbai",Ready to move,Fully Furnished,740.0,534.5595076,2.0,8,1,8100000,159999.4314,16.0,10950.0,1.0,1.0
5780,"JSB Nakshatra Primus, Naigaon East, Mumbai",Ready to move,Unfurnished,500.0,260.0,1.0,5,1,2552000,52473.40828,14.0,5100.0,1.0,1.0
4042,"Ajmera Bhakti Park, Bhakti Park, Wadala East, Mumbai",Ready to move,Semi Furnished,585.0,450.0,1.0,12,0,12100000,120000.0,14.0,20680.0,1.0,1.0
321,"Mallhar Bhimashankar Heights, Anand Park, Dahisar West, Mumbai",Ready to move,Unfurnished,920.0,770.0,2.0,1,1,19500000,190000.0,20.0,21200.0,2.0,2.0
2719,"Ideal Tower, Bharti Nagar, Mira Road East, Mumbai",Ready to move,Semi Furnished,630.0,444.2757725,1.0,9,1,7200000,140000.0,16.0,11430.0,1.0,1.0
9468,"Vinayak Angan Prabhjadevi, Prabhadevi, Mumbai",Ready to move,Unfurnished,1400.0,1050.003203,1.0,22,2,47500000,47500000.0,15.0,33930.0,2.0,2.0
4519,"Sai Pradyana Apartment, Tilak Nagar, Chembur, Mumbai",Ready to move,Fully Furnished,630.0,490.0024072,1.0,10,1,15500000,15500000.0,13.0,24600.0,2.0,2.0
7154,"Premier Colony, Kurla West, Mumbai",Ready to move,Unfurnished,900.0,600.0,2.0,4,0,12500000,130000.0,6.0,13890.0,2.0,2.0
6363,"Chembur East, Chembur, Mumbai",Ready to move,Unfurnished,730.0,685.479166,1.0,1,1,19500000,19500000.0,13.0,26710.0,2.0,2.0
2792,"Bhayandar East, Mumbai",Ready to move,Semi Furnished,675.0,414.8325344,1.999999902,12,1,6500000,58187.39421,7.0,9630.0,1.0,1.0
4776,"Sheth Vasanth Utsav Complex, Thakur Village, Kandivali East, Mumbai",Ready to move,Semi Furnished,750.0,585.0,2.0,20,1,16500000,160000.0,8.0,22000.0,2.0,2.0
3206,"ACME Complex, Prem Nagar, Goregaon West, Mumbai",Ready to move,Unfurnished,510.0,407.0,2.0,15,1,12000000,120000.0,7.0,23530.0,1.0,1.0
7060,"HDIL Dheeraj Diamond, Chincholi Bunder, Malad West, Mumbai",Ready to move,Semi Furnished,990.0,675.0,2.0,10,1,15500000,160000.0,8.0,15660.0,2.0,2.0
5794,"Sunteck West World 2 Tivri Naigaon East, Naigaon East, Mumbai",Ready to move,Unfurnished,610.0,392.0,1.0,1,1,3524000,41997.0053,22.0,5780.0,1.0,1.0
407,"Modirealty Vatvriksh, Yashwant Nagar, Goregaon West, Mumbai",Ready to move,Unfurnished,700.0,638.0,2.0,1,1,17700000,180000.0018,18.0,25290.0,2.0,2.0
5428,"Shraddha Heights, Andheri East, Mumbai",Ready to move,Semi Furnished,560.0,474.0,2.0,10,2,15000000,150000.0,16.0,26790.0,1.0,1.0
9313,"Sri Garden Avenue K, Global City, Virar West, Mumbai",Ready to move,Unfurnished,650.0,390.0,1.0,4,1,3800000,59999.0,14.0,5850.0,1.0,1.0
2694,"Poonam Sagar Complex, Mira Road East, Mumbai",Ready to move,Fully Furnished,560.0,330.0150241,1.0,15,1,7500000,74998.43105,7.0,13390.0,1.0,1.0
2508,"Omkar Ananta, Municipal Colony, Goregaon East, Mumbai",Ready to move,Semi Furnished,1050.0,655.0,2.0,4,1,12100000,120000.0,31.0,11520.0,2.0,2.0
3185,"Kajupada, Sakinaka, Mumbai",Ready to move,Semi Furnished,550.0,434.5916518,1.0,15,1,12000000,12000000.0,12.0,21820.0,1.0,2.0
5251,"KM Narmada Mohan Apartment, Naigaon East, Mumbai",Ready to move,Unfurnished,500.0,247.0,2.0,5,1,3200000,64000.0,14.0,6400.0,1.0,1.0
7464,"Lokhandwala Fountain Heights, Lokhandwala Township, Kandivali East, Mumbai",Ready to move,Semi Furnished,1330.0,900.0,3.0,15,1,26000000,260000.0,18.0,19550.0,3.0,3.0
4945,"Sethia Green View, Motilal Nagar II, Goregaon West, Mumbai",Ready to move,Fully Furnished,600.0,390.0,2.0,5,1,10500000,110000.0,8.0,17500.0,1.0,1.0
4497,"Landmark Towers, Naigaon, Dadar East, Mumbai",Ready to move,Semi Furnished,950.0,750.0,2.0,10,1,30500000,300000.0,19.0,32100.0,2.0,2.0
325,"Srishti Pride, Industrial Area, Bhandup West, Mumbai",Ready to move,Unfurnished,1100.0,655.0,2.0,1,1,15000000,150000.0,21.0,13640.0,2.0,2.0
1363,"Lodha New Cuffe Parade, Sion, Mumbai",Ready to move,Semi Furnished,650.0,470.0,2.0,3,1,22500000,0.0,35.0,34620.0,1.0,1.0
5394,"Sheth Vasant Oasis, Marol, Andheri East, Mumbai",Ready to move,Unfurnished,750.0,435.0,2.0,7,1,13300000,130000.0,22.0,17730.0,1.0,1.0
4973,"Milat Nagar, Andheri West, Mumbai",Ready to move,Unfurnished,665.0,565.0,2.0,12,1,17000000,170000.0,7.0,25560.0,1.0,1.0
8936,"Srishti Mayuresh Srishti, Kokan Nagar, Bhandup West, Mumbai",Ready to move,Semi Furnished,550.0,450.0,1.0,15,1,9800000,98000.0,20.0,17820.0,1.0,1.0
2341,"Gavan Pada, Mahakali Nagar, Mulund East, Mumbai",Ready to move,Unfurnished,614.0,584.117591,1.0,1,1,14200000,14200000.0,17.0,23130.0,2.0,2.0
1087,"Suba Zircon, Dawoolwadi, Andheri East, Mumbai",Ready to move,Fully Furnished,750.0,520.0,2.0,1,0,14000000,140000.0,11.0,18670.0,1.0,1.0
9219,"IC Colony, I C Colony, Borivali West, Mumbai",Ready to move,Semi Furnished,920.0,672.6002813,2.0,15,1,19000000,19000000.0,7.0,20650.0,2.0,2.0
5040,"Sidhivinayak Hill Ridge Apartments, Sainath Nagar, Powai, Mumbai",Ready to move,Unfurnished,1350.0,850.0,2.0,1,1,23500000,240000.0,8.0,17410.0,3.0,3.0
8206,"Parinee, I C Colony, Borivali West, Mumbai",Ready to move,Unfurnished,1550.0,930.0000386,1.0,1,1,27000000,27000000.0,22.0,17420.0,3.0,4.0
3234,"Chhatrapati Shivaji International Airport Area, Vile Parle East, Mumbai",Ready to move,Unfurnished,1774.0,1369.151717,1.0,5,2,57500000,57500000.0,9.0,32410.0,4.0,3.0
4226,"Divya Gunjan, Bander Pakhadi, Kandivali West, Mumbai",Ready to move,Semi Furnished,750.0,650.0,2.0,15,1,15000000,13874407.88,7.0,20000.0,2.0,2.0
8037,"Oberoi Exquisite, Aarey Colony, Goregaon East, Mumbai",Ready to move,Semi Furnished,1820.0,1449.870089,2.0,5,2,67000000,67000000.0,51.0,36810.0,3.0,3.0
1071,"Tridhaatu Naksahtra, Chembur, Mumbai",Ready to move,Unfurnished,1060.0,870.2696894,1.0,1,1,24000000,24000000.0,12.0,22640.0,2.0,2.0
8381,"KUL Court, Sen Nagar, Santacruz East, Mumbai",Ready to move,Unfurnished,1380.0,900.0,3.0,2,2,32000000,300000.0,12.0,23190.0,3.0,3.0
8433,"Wadhwa Dukes Horizon, Best Colony, Govandi, Mumbai",Ready to move,Semi Furnished,1200.0,1050.0,3.0,1,2,37500000,380000.0,16.0,31250.0,3.0,3.0
9023,"Neha Apartment, Seven Bunglow, Andheri West, Mumbai",Ready to move,Semi Furnished,500.0,465.0,2.0,30,1,12500000,130000.0,4.0,25000.0,1.0,1.0
9347,"Lokhandwala Green Hills CHS, Singh Agri Estate, Kandivali East, Mumbai",Ready to move,Unfurnished,525.0,420.0,2.0,15,1,9500000,95000.0,7.0,18090.0,1.0,1.0
8415,"Call Please, Dadi Sheth Wadi, Malabar Hill, Mumbai",Ready to move,Fully Furnished,1400.0,1984.573211,1.0,15,1,77600000,77600000.0,8.0,55430.0,3.0,2.0
6041,"Solitare, Mahim West, Mahim, Mumbai",Ready to move,Semi Furnished,850.0,853.7076792,1.0,20,0,29000000,29000000.0,20.0,34120.0,2.0,2.0
594,"Kanakia Miami, Mahim, Mumbai",Ready to move,Fully Furnished,980.0,853.0,2.0,3,2,47500000,480000.0,24.0,48470.0,2.0,2.0
84,"Kanakia Paris, Sant Dnyaneshwar Nagar, Bandra East, Mumbai",Ready to move,Semi Furnished,1400.0,1147.0,3.0,4,2,42500000,430000.0,20.0,30360.0,3.0,3.0
519,"Sabari Gayathri, Swastik Park, Chembur, Mumbai",Ready to move,Unfurnished,1689.0,1350.0,3.0,1,2,36500000,0.0,14.0,21610.0,3.0,3.0
7933,"N Rose Northern Heights, Shanti Nagar, Dahisar East, Mumbai",Ready to move,Unfurnished,1700.0,1107.0,3.0,2,1,25000000,250000.0,42.0,14710.0,3.0,3.0
980,"Tirupathi The Windsor, Chinchpada, Borivali East, Mumbai",Ready to move,Semi Furnished,655.0,413.0,2.0,3,1,9200000,92000.0,14.0,14040.0,1.0,1.0
1809,"Town Swaroop Marvel Gold, Panchsheel Nagar, Bhandup West, Mumbai",Ready to move,Unfurnished,558.0,385.0,2.0,1,1,9000000,90000.0,22.0,16130.0,1.0,1.0
3299,"MHADA Colony, Mulund East, Mumbai",Ready to move,Fully Furnished,2100.0,1400.0,4.0,21,2,31500000,310000.0,8.0,15000.0,4.0,4.0
8685,"Kamala Nagar, Vile Parle West, Mumbai",Ready to move,Semi Furnished,1200.0,1117.266737,1.0,7,2,46500000,46500000.0,13.0,38750.0,3.0,3.0
1201,"Lodha Seaview, Teen Batti, Malabar Hill, Mumbai",Ready to move,Unfurnished,3200.0,2335.0,4.0,2,3,225000000,2200000.0,22.0,70310.0,4.0,4.0
5715,"Shree Satya Sai Solitaire II, Morya Nagar, Nalasopara West, Mumbai",Ready to move,Semi Furnished,650.0,455.0,1.0,8,2,3500000,39364.35016,9.0,5380.0,1.0,1.0
4791,"Country Park II, Food Corporation Of India Warehouse, Borivali East, Mumbai",Ready to move,Unfurnished,512.0,425.0,2.0,18,0,12400000,120000.0,8.0,24220.0,1.0,1.0
8950,"Vikram Rachna Towers, Global City, Virar West, Mumbai",Ready to move,Semi Furnished,750.0,415.0,1.0,7,1,2800000,56000.0,12.0,3730.0,1.0,1.0
1237,"Rajesh Whitecity Phase 1 Wing A, Singh Agri Estate, Kandivali East, Mumbai",Ready to move,Unfurnished,730.0,468.0,2.0,1,1,12700000,120000.0,42.0,17400.0,1.0,1.0
640,"Parle Colony, Vile Parle East, Mumbai",Ready to move,Unfurnished,600.0,448.2297581,1.0,1,1,12500000,12500000.0,10.0,20830.0,1.0,2.0
1811,"Suyog Jeevan Anand, Anand Nagar, Bhandup West, Mumbai",Ready to move,Semi Furnished,655.0,415.0,2.0,2,1,8400000,84000.0,20.0,12820.0,1.0,1.0
6400,"DIP MANDIR CHS, Tilak Nagar, Chembur, Mumbai",Ready to move,Unfurnished,890.0,609.2363164,1.0,2,0,17000000,17000000.0,15.0,19100.0,2.0,2.0
7166,"Pinewood Apartment, Mulund West, Mumbai",Ready to move,Unfurnished,780.0,574.0,2.0,20,1,15500000,160000.0,8.0,19870.0,2.0,2.0
1707,"Uniquepoonam Sky City, Morya Nagar, Nalasopara West, Mumbai",Ready to move,Semi Furnished,610.0,410.0,1.0,1,1,3000000,60000.0,23.0,4920.0,1.0,1.0
476,"I C Colony, Borivali West, Mumbai",Ready to move,Unfurnished,1250.0,920.0,3.0,1,1,25700000,0.0,22.0,20560.0,3.0,3.0
1949,"Dhariwal Swami Vivekanand CHS, Tilak Nagar, Goregaon West, Mumbai",Ready to move,Unfurnished,550.0,465.0,2.0,1,1,13800000,140000.0,23.0,25090.0,1.0,1.0
9073,"Panch rasta, P&T Staff Colony, Mulund West, Mumbai",Ready to move,Fully Furnished,880.0,700.6454434,1.0,2,2,16000000,16000000.0,8.0,18180.0,2.0,2.0
7523,"Sheth Enclave 6th To 10th Floor, Amrut Nagar, Ghatkopar West, Mumbai",Ready to move,Unfurnished,1550.0,1150.0,3.0,6,2,30000000,300000.0,10.0,19350.0,3.0,3.0
3640,"Oberoi sky heights , Lokhandwala Complex, Andheri West, Mumbai",Ready to move,Unfurnished,2871.0,3349.976617,4.0,20,2,165000000,165000000.0,40.0,57470.0,4.0,4.0
412,"Chandak Nischay, Ambawadi, Dahisar East, Mumbai",Ready to move,Fully Furnished,720.0,500.0,2.0,1,1,16800000,170000.0,23.0,23330.0,2.0,2.0
4918,"Chauhan Galaxy, Beverly Park, Mira Road East, Mumbai",Ready to move,Semi Furnished,670.0,698.8056438,3.0,2,1,5861000,0.0,7.0,8750.0,1.0,2.0
6856,"Sadguru Sky Heights, Morya Nagar, Nalasopara West, Mumbai",Ready to move,Semi Furnished,980.0,650.0,2.0,8,1,5500000,8071.217911,9.0,5610.0,2.0,2.0
9471,"Bolinj, Virar West, Mumbai",Ready to move,Semi Furnished,610.0,399.9357935,1.0,10,1,2600000,50000.0,3.0,4260.0,1.0,1.0
2013,"Sapphire, Ambedkar Nagar, Kandivali West, Mumbai",Ready to move,Unfurnished,450.0,394.0,2.0,1,1,9000000,0.0,21.0,20000.0,1.0,1.0
1757,"Laxmi Avenue D Global City, Agashi, Virar West, Mumbai",Ready to move,Unfurnished,620.0,415.0,2.0,2,1,3150000,0.0,7.0,5080.0,1.0,1.0
2081,"Ajmera Treon, Bhakti Park, Wadala East, Mumbai",Ready to move,Semi Furnished,1150.0,1000.0,2.0,5,1,31000000,310000.0,34.0,26960.0,2.0,2.0
9130,"Sea Breeze CHS, Anand Park, Dahisar West, Mumbai",Ready to move,Unfurnished,540.0,433.8508114,1.0,20,0,12500000,12500000.0,6.0,23150.0,2.0,2.0
1723,"Rashmi Classic, Yashvant Viva TownShip, Nalasopara East, Mumbai",Ready to move,Semi Furnished,600.0,400.0,1.0,4,1,2944000,42392.67464,7.0,4910.0,1.0,1.0
6683,"Piramal Revanta, Mulund Colony, Mulund West, Mumbai",Ready to move,Unfurnished,844.0,768.0,2.0,2,1,21000000,210000.0,40.0,24880.0,2.0,2.0
5980,"Landmark Towers, Gautam Nagar, Dadar East, Mumbai",Ready to move,Semi Furnished,950.0,800.0,2.0,10,4,33800000,33358515.03,25.0,35610.0,2.0,2.0
306,"Mittal Aristo, Parel, Mumbai",Ready to move,Semi Furnished,1850.0,1350.0,4.0,3,1,48000000,450000.0,15.0,25950.0,3.0,3.0
2546,"Swaminarayan Dham, Marol, Andheri East, Mumbai",Ready to move,Unfurnished,616.0,516.0,2.0,1,1,11100000,0.0,12.0,18020.0,2.0,2.0
6893,"MICL Aradhya D And E Tower, Mahajan Wadi, Mira Road East, Mumbai",Ready to move,Unfurnished,756.0,630.0,2.0,1,1,12000000,353650.3698,30.0,15870.0,2.0,2.0
8139,"Good Shepherd Residency, Mitha Nagar, Goregaon West, Mumbai",Ready to move,Unfurnished,1350.0,900.0,3.0,1,2,23000000,230000.0,21.0,17040.0,3.0,3.0
7836,"Oberoi woods, Yashodham, Goregaon East, Mumbai",Ready to move,Semi Furnished,1200.0,1391.643594,1.0,10,1,40500000,40500000.0,35.0,33750.0,3.0,2.0
3124,"SR Surya Kirti Heights, Global City, Virar West, Mumbai",Ready to move,Semi Furnished,750.0,430.0,2.0,8,1,2850000,57000.0,15.0,3800.0,1.0,1.0
4840,"Lokhandwala Whispering Palms Exclusive, Lokhandwala Township, Kandivali East, Mumbai",Ready to move,Unfurnished,650.0,450.0,2.0,12,1,12500000,130000.0,21.0,19230.0,1.0,1.0
5268,"Thakur Vishnu Shivam Tower, Thakur Village, Kandivali East, Mumbai",Ready to move,Semi Furnished,1250.0,870.0,2.0,10,1,25000000,250000.0,29.0,20000.0,2.0,2.0
9284,"Mahavir KD Hermitage B No 2, Chandan Shanti, Mira Road East, Mumbai",Ready to move,Semi Furnished,1100.0,720.0,2.0,2,1,9127000,200000.0,12.0,8300.0,2.0,2.0
8220,"Maker tower H, Cuffe Parade, Mumbai",Ready to move,Fully Furnished,1800.0,1927.588393,1.0,40,1,130000000,130000000.0,23.0,72220.0,4.0,3.0
4403,"Marol, Andheri East, Mumbai",Ready to move,Unfurnished,567.0,432.0,2.0,19,1,9600000,96000.00435,7.0,16930.0,1.0,1.0
93,"Maxima Building, Jogeshwari East, Mumbai",Ready to move,Unfurnished,1965.0,1371.116864,1.0,2,2,57600000,57600000.0,32.0,29310.0,3.0,3.0
2405,"siddhivinayak grandeur , Kamgar Nagar, Prabhadevi, Mumbai",Ready to move,Semi Furnished,1050.0,946.5580998,1.0,2,1,42000000,42000000.0,22.0,40000.0,2.0,2.0
3813,"vardhman nagar palghar, Haranwali, Palghar, Mumbai",Ready to move,Semi Furnished,630.0,380.000002,2.0,5,1,1800000,7.4e-05,4.0,2860.0,1.0,1.0
4336,"K Raheja Vistas, Panchkutir Ganesh Nagar, Powai, Mumbai",Ready to move,Unfurnished,975.0,675.0,2.0,8,1,21800000,220000.0,20.0,22360.0,2.0,2.0
8244,"RTO Colony, Mumbai Central, Mumbai",Ready to move,Fully Furnished,2580.0,1750.0,6.0,8,6,100000000,1000000.0,35.0,38760.0,5.0,5.0
2514,"Haware Tilak Nagar Shree Sainath CHS Ltd, Shastri Nagar, Chembur, Mumbai",Ready to move,Semi Furnished,750.0,698.0,2.0,3,3,18000000,17849495.55,20.0,24000.0,2.0,2.0
1251,"Huges 49 Elina, Tilak Nagar, Chembur, Mumbai",Ready to move,Unfurnished,580.0,475.0,2.0,3,1,12500000,130000.0,14.0,21550.0,1.0,1.0
6622,"GOOD SOCIETY, Tilak Nagar, Chembur, Mumbai",Ready to move,Unfurnished,700.0,530.0024776,1.0,4,2,18500000,18500000.0,12.0,26430.0,2.0,2.0
3920,"Neelyog Aashiyana I, Sector 6 Charkop, Kandivali West, Mumbai",Ready to move,Fully Furnished,600.0,430.0,2.0,7,1,11000000,110000.0,19.0,18330.0,1.0,1.0
1067,"Sheth Vasant Oasis Zinnia Bldg 17, Marol, Andheri East, Mumbai",Ready to move,Unfurnished,900.0,700.0,2.0,2,1,22500000,230000.0,22.0,25000.0,2.0,2.0
9379,"Sheth Beaumonte Tower B Phase 1 Building No 10, Sion East, Sion, Mumbai",Ready to move,Semi Furnished,1350.0,1270.0,2.0,3,2,60000000,600000.0,40.0,44440.0,3.0,3.0
8456,"BREDCO Viceroy Park, Thakur Village, Kandivali East, Mumbai",Ready to move,Semi Furnished,1350.0,1100.0,3.0,15,1,33000000,400000.0,21.0,24440.0,3.0,3.0
6360,"KM Horizon Flora, Bhayandarpada, Thane West, Mumbai",Ready to move,Semi Furnished,700.0,550.0,2.0,6,2,5600000,56000.0,19.0,8000.0,2.0,2.0
3713,"Rustomjee Crown Phase 2, Prabhadevi, Mumbai",Ready to move,Unfurnished,2403.0,1717.0,5.0,1,2,129900000,1300000.0,60.0,54060.0,4.0,4.0
5552,"Tanvi Eminence Phase 2, Chandan Shanti, Mira Road East, Mumbai",Ready to move,Unfurnished,700.0,450.0,2.0,7,0,7000000,138101.4099,15.0,10000.0,1.0,1.0
1906,"Ashar Maple, Ghati Pada, Mulund West, Mumbai",Ready to move,Semi Furnished,600.0,466.0,2.0,1,2,10500000,110000.0,31.0,17500.0,1.0,1.0
8730,"Matunga , Matunga East, Mumbai",Ready to move,Semi Furnished,1650.0,1358.05334,3.0,1,2,65000000,65000000.0,23.0,39390.0,3.0,2.0
1392,"Star Heights, Morya Nagar, Nalasopara West, Mumbai",Ready to move,Semi Furnished,660.0,407.3349065,2.0,1,1,3000000,0.0,12.0,4540.0,1.0,1.0
7504,"Kamala Nagar, Vile Parle West, Mumbai",Ready to move,Unfurnished,1100.0,1382.196833,1.0,5,2,55000000,55000000.0,12.0,50000.0,3.0,3.0
680,"Kolte Patil Verve, Bangur Nagar, Goregaon West, Mumbai",Ready to move,Semi Furnished,1240.0,1033.0,3.0,1,2,35000000,20669567.9,16.0,28230.0,3.0,3.0
391,"Tilak Nagar, Chembur, Mumbai",Ready to move,Unfurnished,557.0,407.1003298,1.0,2,0,11500000,11500000.0,7.0,20650.0,1.0,2.0
9004,"Lodha Marquise, Siddharth Nagar, Worli, Mumbai",Ready to move,Semi Furnished,1600.0,1275.0,4.0,5,2,72000000,720000.0,72.0,45000.0,3.0,3.0
4334,"Greenwood Apartment, Gundavali, Andheri East, Mumbai",Ready to move,Semi Furnished,1140.0,750.0,2.0,16,1,24000000,240000.0,9.0,21050.0,2.0,2.0
8043,"CALL FOR NAME, Hill Road Nagar, Kurla East, Mumbai",Ready to move,Fully Furnished,1550.0,1189.817433,1.0,20,1,59900000,59900000.0,5.0,38650.0,3.0,3.0
1951,"Khatri Malad west , Mamletdar Wadi, Malad West, Mumbai",Ready to move,Unfurnished,500.0,407.4973483,1.0,2,1,8400000,98247.18415,7.0,16800.0,1.0,2.0
1058,"Rajlaxmi Residency, Jawahar Nagar, Goregaon West, Mumbai",Ready to move,Unfurnished,1050.0,765.0,2.0,4,1,22100000,219999.9925,7.0,21050.0,2.0,2.0
2878,"Deep Pride A To E Wing, Morya Nagar, Nalasopara West, Mumbai",Ready to move,Unfurnished,590.0,380.5852035,2.0,7,1,3200000,63878.34829,7.0,5420.0,1.0,1.0
